MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,15.000,0.000,55.134,0.002,55.148,0.002,54.968,0.002,55.002,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.852,0.005,25.407,0.001,25.406,0.001,25.513,0.000,25.437,0.011,23.803,0.035,28.541,0.055
1000,15.000,0.000,55.136,0.002,55.146,0.002,54.972,0.002,55.006,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.591,0.001,25.853,0.005,25.407,0.001,25.405,0.001,25.512,0.000,25.437,0.011,23.821,0.035,28.551,0.055
2000,15.000,0.000,55.134,0.003,55.148,0.002,54.968,0.002,55.002,0.002,24.238,0.001,24.234,0.001,24.232,0.001,24.232,0.001,25.593,0.001,25.853,0.005,25.407,0.001,25.406,0.001,25.513,0.000,25.438,0.011,23.817,0.035,28.544,0.055
3000,15.000,0.000,55.134,0.002,55.148,0.002,54.972,0.002,55.006,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.854,0.005,25.407,0.001,25.405,0.001,25.512,0.000,25.438,0.011,23.821,0.034,28.543,0.055
4000,15.000,0.000,55.132,0.002,55.146,0.002,54.970,0.002,55.004,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.591,0.001,25.853,0.005,25.407,0.001,25.405,0.001,25.512,0.000,25.439,0.011,23.825,0.033,28.538,0.056
5000,15.000,0.000,55.134,0.002,55.148,0.002,54.970,0.002,55.004,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.854,0.005,25.407,0.001,25.406,0.001,25.512,0.000,25.439,0.011,23.824,0.033,28.536,0.056
6000,15.000,0.000,55.134,0.002,55.148,0.002,54.970,0.002,55.004,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.593,0.001,25.854,0.005,25.407,0.001,25.407,0.001,25.511,0.000,25.439,0.011,23.811,0.033,28.527,0.056
7000,15.000,0.000,55.136,0.002,55.146,0.002,54.970,0.002,55.004,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.853,0.005,25.406,0.001,25.405,0.001,25.512,0.001,25.440,0.011,23.829,0.034,28.516,0.056
8000,15.000,0.000,55.134,0.002,55.148,0.002,54.974,0.002,55.006,0.002,24.238,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.855,0.005,25.408,0.001,25.405,0.001,25.510,0.001,25.440,0.011,23.819,0.033,28.511,0.055
9000,15.000,0.000,55.136,0.003,55.146,0.002,54.968,0.002,55.002,0.002,24.236,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.593,0.001,25.854,0.005,25.407,0.001,25.406,0.001,25.512,0.001,25.440,0.011,23.808,0.033,28.507,0.055
10000,15.000,0.000,55.132,0.002,55.148,0.002,54.972,0.002,55.006,0.002,24.236,0.001,24.234,0.001,24.230,0.001,24.232,0.001,25.592,0.001,25.854,0.005,25.408,0.001,25.405,0.001,25.511,0.001,25.440,0.011,23.790,0.032,28.504,0.055
11000,15.000,0.000,55.136,0.003,55.148,0.002,54.970,0.002,55.004,0.002,24.238,0.001,24.234,0.001,24.232,0.001,24.232,0.001,25.592,0.001,25.854,0.005,25.407,0.001,25.405,0.001,25.511,0.001,25.440,0.011,23.736,0.033,28.504,0.054
