MS Elapsed,Bolo T,stddev,BB HBB Top,stddev,BB HBB Bottom,stddev,BB HBB Apex,stddev,BB HBB Avg,stddev,BB ABB Top,stddev,BB ABB Bottom,stddev,BB ABB Apex,stddev,BB ABB Avg,stddev,T Ch0,stddev,T Ch1,stddev,T Ch2,stddev,T Ch3,stddev,T Ch4,stddev,T Ch5,stddev,T Ch6,stddev,RH% Ch7,stddev
0,14.998,0.001,55.086,0.003,55.102,0.003,54.962,0.004,54.988,0.003,28.262,0.005,28.258,0.005,28.258,0.005,28.258,0.005,26.362,0.017,27.078,0.016,26.239,0.017,26.273,0.016,26.380,0.016,28.552,0.012,23.953,0.124,27.608,0.191
999,14.998,0.001,55.086,0.003,55.100,0.003,54.962,0.004,54.988,0.003,28.262,0.005,28.258,0.005,28.258,0.005,28.258,0.005,26.363,0.017,27.078,0.016,26.240,0.017,26.274,0.016,26.379,0.016,28.553,0.011,23.909,0.123,27.610,0.189
2000,14.996,0.001,55.088,0.003,55.096,0.003,54.960,0.004,54.986,0.003,28.262,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.363,0.017,27.079,0.016,26.240,0.017,26.274,0.016,26.380,0.016,28.552,0.011,24.037,0.123,27.589,0.188
3000,14.998,0.001,55.084,0.003,55.100,0.003,54.962,0.004,54.988,0.003,28.262,0.005,28.256,0.005,28.258,0.005,28.258,0.005,26.364,0.017,27.080,0.017,26.240,0.017,26.274,0.016,26.381,0.016,28.554,0.010,23.912,0.123,27.547,0.188
4000,15.003,0.001,55.084,0.003,55.100,0.003,54.962,0.004,54.988,0.003,28.264,0.005,28.258,0.005,28.258,0.005,28.258,0.005,26.365,0.017,27.080,0.017,26.242,0.017,26.275,0.016,26.382,0.016,28.552,0.010,24.180,0.125,27.484,0.190
5000,15.001,0.001,55.088,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.264,0.005,28.258,0.005,28.258,0.005,28.260,0.005,26.366,0.017,27.080,0.017,26.241,0.017,26.275,0.016,26.381,0.016,28.551,0.009,24.011,0.125,27.430,0.193
6000,15.003,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.365,0.017,27.081,0.017,26.241,0.017,26.276,0.016,26.382,0.016,28.550,0.009,23.972,0.124,27.422,0.197
7000,15.002,0.001,55.088,0.003,55.100,0.003,54.964,0.003,54.990,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.366,0.017,27.082,0.017,26.242,0.017,26.277,0.016,26.382,0.016,28.549,0.009,23.974,0.124,27.479,0.199
8000,15.002,0.001,55.084,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.366,0.017,27.082,0.017,26.242,0.017,26.277,0.016,26.383,0.016,28.546,0.008,23.975,0.124,27.553,0.199
9000,15.001,0.001,55.082,0.003,55.104,0.003,54.960,0.003,54.986,0.003,28.262,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.368,0.017,27.082,0.017,26.242,0.017,26.278,0.016,26.383,0.016,28.544,0.008,23.948,0.124,27.616,0.196
10000,15.000,0.001,55.088,0.003,55.104,0.003,54.960,0.003,54.988,0.003,28.264,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.367,0.017,27.082,0.017,26.244,0.017,26.277,0.016,26.384,0.016,28.544,0.008,23.942,0.124,27.673,0.193
11000,15.000,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.258,0.005,28.260,0.005,28.260,0.005,26.367,0.017,27.083,0.017,26.244,0.017,26.279,0.016,26.384,0.016,28.543,0.007,23.876,0.124,27.710,0.188
12000,15.000,0.001,55.086,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.367,0.017,27.082,0.017,26.244,0.017,26.279,0.016,26.386,0.016,28.541,0.007,23.876,0.124,27.743,0.182
13000,14.998,0.001,55.086,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.368,0.017,27.083,0.017,26.244,0.017,26.279,0.016,26.385,0.016,28.540,0.007,23.943,0.124,27.761,0.176
14000,14.999,0.001,55.086,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.370,0.017,27.085,0.017,26.245,0.017,26.280,0.016,26.386,0.016,28.539,0.007,23.994,0.124,27.773,0.170
15000,15.000,0.001,55.090,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.266,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.371,0.017,27.084,0.017,26.247,0.017,26.279,0.016,26.387,0.016,28.537,0.007,24.052,0.123,27.780,0.164
16000,15.001,0.001,55.086,0.003,55.098,0.003,54.958,0.003,54.986,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.262,0.005,26.371,0.017,27.084,0.017,26.247,0.017,26.279,0.016,26.387,0.016,28.537,0.007,24.052,0.123,27.780,0.164
17000,15.001,0.001,55.086,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.370,0.017,27.085,0.017,26.247,0.017,26.282,0.016,26.387,0.016,28.536,0.007,24.079,0.123,27.778,0.161
18000,15.002,0.001,55.088,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.266,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.371,0.016,27.087,0.017,26.247,0.017,26.281,0.016,26.387,0.016,28.536,0.007,24.134,0.124,27.792,0.159
19000,15.003,0.001,55.088,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.260,0.005,26.371,0.016,27.088,0.017,26.248,0.017,26.282,0.016,26.388,0.016,28.536,0.008,24.186,0.125,27.804,0.158
20000,15.000,0.001,55.086,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.264,0.005,28.260,0.005,28.260,0.005,28.262,0.005,26.371,0.016,27.086,0.017,26.247,0.017,26.282,0.016,26.388,0.016,28.536,0.008,24.133,0.125,27.813,0.159
21000,15.003,0.001,55.086,0.003,55.102,0.003,54.960,0.003,54.986,0.003,28.266,0.005,28.260,0.005,28.260,0.005,28.262,0.005,26.372,0.016,27.087,0.017,26.248,0.017,26.283,0.016,26.389,0.016,28.537,0.008,24.082,0.125,27.818,0.159
22000,15.001,0.001,55.086,0.003,55.098,0.003,54.962,0.003,54.988,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.373,0.016,27.087,0.017,26.248,0.017,26.283,0.016,26.389,0.016,28.536,0.008,24.108,0.125,27.814,0.160
23000,14.999,0.001,55.086,0.003,55.098,0.003,54.958,0.003,54.984,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.374,0.016,27.088,0.017,26.248,0.017,26.282,0.016,26.389,0.016,28.539,0.008,24.080,0.125,27.810,0.159
24000,15.002,0.001,55.088,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.266,0.005,28.260,0.005,28.260,0.005,28.262,0.005,26.374,0.016,27.089,0.017,26.250,0.017,26.283,0.016,26.389,0.016,28.541,0.008,24.026,0.125,27.797,0.158
25000,15.000,0.001,55.088,0.003,55.100,0.003,54.958,0.003,54.986,0.003,28.266,0.005,28.262,0.005,28.262,0.005,28.262,0.005,26.375,0.016,27.089,0.017,26.250,0.017,26.285,0.016,26.390,0.016,28.543,0.008,24.013,0.124,27.790,0.157
26000,14.998,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.988,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.374,0.016,27.089,0.017,26.250,0.017,26.285,0.016,26.391,0.016,28.544,0.008,24.004,0.123,27.793,0.155
27000,14.999,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.375,0.016,27.090,0.017,26.251,0.017,26.284,0.016,26.390,0.016,28.546,0.008,24.054,0.123,27.779,0.153
28000,14.999,0.001,55.086,0.003,55.102,0.003,54.962,0.003,54.988,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.375,0.016,27.090,0.017,26.251,0.017,26.286,0.016,26.391,0.016,28.547,0.008,24.055,0.122,27.767,0.152
29000,15.000,0.001,55.086,0.003,55.100,0.003,54.958,0.003,54.986,0.003,28.266,0.005,28.260,0.005,28.262,0.005,28.262,0.005,26.376,0.016,27.090,0.017,26.251,0.017,26.286,0.016,26.392,0.016,28.547,0.008,24.035,0.121,27.751,0.151
30000,15.000,0.001,55.086,0.003,55.100,0.003,54.962,0.003,54.988,0.003,28.266,0.005,28.262,0.005,28.262,0.005,28.262,0.005,26.377,0.016,27.092,0.017,26.253,0.016,26.286,0.016,26.392,0.016,28.548,0.008,24.019,0.121,27.734,0.149
31001,14.998,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.988,0.003,28.266,0.005,28.262,0.005,28.262,0.005,28.264,0.005,26.376,0.016,27.091,0.017,26.254,0.016,26.286,0.016,26.393,0.016,28.549,0.008,24.272,0.122,27.728,0.148
32001,15.003,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.262,0.005,28.262,0.005,28.262,0.005,26.377,0.016,27.092,0.017,26.253,0.016,26.287,0.016,26.394,0.016,28.549,0.008,24.287,0.124,27.735,0.147
33001,15.003,0.001,55.084,0.003,55.098,0.003,54.960,0.003,54.986,0.003,28.266,0.005,28.262,0.005,28.262,0.005,28.264,0.005,26.378,0.016,27.091,0.017,26.254,0.016,26.287,0.016,26.393,0.016,28.550,0.008,24.296,0.126,27.738,0.147
34001,15.002,0.001,55.084,0.003,55.098,0.003,54.956,0.003,54.984,0.003,28.266,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.377,0.016,27.094,0.017,26.254,0.016,26.288,0.016,26.394,0.016,28.549,0.008,24.410,0.130,27.735,0.146
35001,15.005,0.001,55.088,0.003,55.102,0.003,54.958,0.003,54.984,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.378,0.016,27.094,0.017,26.255,0.016,26.289,0.016,26.395,0.016,28.549,0.008,24.420,0.134,27.733,0.146
36001,15.003,0.001,55.086,0.003,55.098,0.003,54.962,0.003,54.988,0.003,28.268,0.005,28.262,0.005,28.262,0.005,28.264,0.005,26.379,0.016,27.093,0.017,26.255,0.016,26.289,0.016,26.395,0.016,28.549,0.008,24.438,0.138,27.731,0.146
37001,14.999,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.266,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.379,0.016,27.094,0.017,26.256,0.016,26.289,0.016,26.395,0.016,28.549,0.008,24.219,0.138,27.734,0.146
38001,14.997,0.001,55.084,0.003,55.094,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.262,0.005,28.262,0.005,28.264,0.005,26.379,0.016,27.095,0.017,26.257,0.016,26.290,0.016,26.396,0.016,28.549,0.008,24.396,0.141,27.761,0.146
39001,14.998,0.001,55.086,0.003,55.096,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.380,0.016,27.095,0.017,26.256,0.016,26.290,0.016,26.396,0.016,28.549,0.008,24.399,0.143,27.789,0.146
40001,14.999,0.001,55.086,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.382,0.016,27.095,0.017,26.257,0.016,26.291,0.016,26.398,0.016,28.548,0.008,24.318,0.144,27.819,0.146
41001,14.999,0.001,55.084,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.382,0.016,27.095,0.017,26.258,0.016,26.291,0.016,26.398,0.016,28.549,0.008,24.278,0.145,27.852,0.146
42001,15.000,0.001,55.084,0.003,55.100,0.003,54.960,0.003,54.986,0.003,28.268,0.005,28.264,0.005,28.264,0.005,28.264,0.005,26.383,0.016,27.095,0.017,26.257,0.016,26.291,0.016,26.398,0.016,28.549,0.009,24.231,0.145,27.878,0.147
43001,15.000,0.001,55.084,0.003,55.098,0.003,54.956,0.003,54.984,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.382,0.016,27.096,0.017,26.259,0.016,26.292,0.016,26.399,0.016,28.549,0.009,24.205,0.146,27.887,0.148
44001,15.000,0.001,55.084,0.003,55.100,0.003,54.958,0.003,54.984,0.003,28.268,0.005,28.262,0.005,28.264,0.005,28.264,0.005,26.383,0.016,27.096,0.017,26.259,0.016,26.292,0.016,26.399,0.016,28.550,0.009,24.225,0.146,27.897,0.149
45001,15.000,0.001,55.084,0.003,55.098,0.003,54.962,0.003,54.988,0.003,28.268,0.005,28.264,0.005,28.264,0.005,28.264,0.005,26.383,0.016,27.096,0.017,26.259,0.016,26.293,0.016,26.399,0.016,28.550,0.009,24.225,0.146,27.901,0.150
46001,15.001,0.001,55.086,0.003,55.096,0.003,54.958,0.003,54.984,0.003,28.268,0.005,28.264,0.005,28.264,0.005,28.264,0.005,26.384,0.016,27.096,0.017,26.260,0.016,26.294,0.016,26.400,0.016,28.551,0.009,24.236,0.147,27.908,0.152
47001,14.998,0.002,55.084,0.003,55.096,0.003,54.958,0.003,54.984,0.003,28.268,0.005,28.264,0.005,28.264,0.005,28.266,0.005,26.384,0.016,27.097,0.017,26.260,0.016,26.295,0.016,26.401,0.016,28.550,0.009,24.174,0.146,27.913,0.155
