Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-22_10-17-57 -- 179.937045163 219.078628718 237.768781784 260.739715228 212.945754934 253.479677265 243.447401653 236.56536214 266.215559404 -- 
2015-02-22_10-20-04 -- 172.400277826 215.374050359 235.998332405 260.64182232 -- 253.485094011 242.472798969 235.438394909 265.768845864 -- 
2015-02-22_10-22-11 -- 178.610984133 218.744009812 238.051628968 260.874302484 214.455935912 253.838329101 244.038857399 237.898349562 266.060351082 -- 
2015-02-22_10-24-19 -- 169.481906917 214.876307112 236.233052432 260.919100713 211.359650838 253.655125702 242.794233757 236.028351679 265.835480561 -- 
2015-02-22_10-26-27 -- 174.60789747 217.128376002 237.072037627 260.747127613 212.961078141 253.415892145 243.863565078 237.850444041 266.415076066 -- 
2015-02-22_10-28-34 -- 213.956031957 236.005076088 246.678950773 261.940030987 223.859225736 257.022683837 251.212111702 247.271158968 267.394345861 -- 
2015-02-22_10-30-42 -- 215.619561532 236.926739018 248.531238187 261.783524532 226.968801511 257.439203992 251.219239679 245.505651853 266.293960758 -- 
2015-02-22_10-32-50 -- 217.955425748 238.126956978 249.075094627 261.643421927 224.959757209 256.887751042 251.266619747 247.657516214 266.714554305 -- 
2015-02-22_10-34-57 -- 209.873294924 233.274941818 246.571901419 261.595937545 222.020957534 256.280846818 248.517592612 243.914152942 267.034731057 -- 
2015-02-22_10-37-05 -- 208.98088659 233.595308502 247.318534408 261.704444027 223.412100991 256.011570239 249.137387753 245.121830633 265.954353295 -- 
2015-02-22_10-39-12 -- 204.531135435 230.483749245 244.611632786 261.268312293 221.134173937 255.75042913 249.290966077 246.124872852 265.496221137 -- 
2015-02-22_10-41-22 -- 190.486243961 222.319848619 239.443026412 261.031782056 214.29747501 253.588735731 243.201930011 236.473240131 265.146863115 -- 
2015-02-22_10-43-30 -- 194.422566214 224.755715801 241.64800813 261.196102514 217.494906281 254.814452902 246.928755604 242.288139212 267.036596019 -- 
2015-02-22_10-45-38 -- 199.832382317 229.029594372 244.279400117 261.450314451 220.661314096 255.641482882 248.300121457 243.612224391 266.264348464 -- 
2015-02-22_10-47-45 -- 200.435807616 227.615086405 242.0253402 261.29622501 218.145917136 255.968851599 249.297528943 244.324919699 265.655972787 -- 
2015-02-22_10-49-53 -- 193.409725646 225.299979445 241.6661826 261.122954615 217.565857386 254.512154429 246.074951001 240.773778891 265.736573906 -- 
2015-02-22_10-52-01 -- 194.912173203 225.021544386 240.860368788 261.138757151 216.591524997 254.245636225 244.965569763 238.707013249 265.920253759 -- 
2015-02-22_10-54-09 -- 199.954195936 -- 244.801094785 261.632639559 220.743962691 256.395527884 249.068856424 243.669557101 267.152451887 -- 
2015-02-22_10-56-18 -- 199.705668508 227.706281519 243.200429825 261.61352366 217.647853316 255.26923303 247.050333975 242.060992563 266.688758693 -- 
2015-02-22_10-58-25 -- 207.908873104 231.960061259 244.978366405 261.796140349 223.613961096 255.953634173 247.934025973 242.468150636 266.263679206 -- 
2015-02-22_11-00-35 -- 200.589348521 228.843504558 243.694162878 261.224722926 219.984526016 255.557408306 248.242732708 243.350240461 265.749212957 -- 
2015-02-22_11-02-42 -- 199.796654043 227.818555949 243.207381324 261.566021479 222.016417607 256.636685069 250.276051791 246.346754959 266.78448159 -- 
2015-02-22_11-04-50 -- 215.408154493 236.137871887 247.809630265 262.030111242 224.417677599 257.0428074 250.428837506 246.062893666 266.474564237 -- 
2015-02-22_11-06-57 -- 219.405816714 239.249879215 249.750633857 262.080166216 227.119786492 258.004332382 252.415102767 248.360100318 266.4824029 -- 
