Date open F0008 F0009 F0034 F0011 F0007 F0036 F0035 F0010 F0014 blank  
2015-02-21_08-25-40 -- 5.08496631293 6.6743698168 2.91505685778 4.46060020815 4.25677336998 3.53963278848 3.18245149322 4.89601417882 5.54074443034 -- 
2015-02-21_08-27-50 -- 5.10099347223 6.60015979649 2.89951225372 4.47063111361 4.40171810073 3.56868639684 3.20815169001 4.96425295461 5.52122719035 -- 
2015-02-21_08-29-59 -- 5.13692803459 6.67409512158 2.91201254581 4.47849977977 4.42363693427 3.55090270204 3.20488210636 4.93624331534 5.51966182152 -- 
2015-02-21_08-32-06 -- 5.209005249 6.63066928581 2.88278605735 4.4757174472 4.53695815188 3.56364659992 3.20734748897 4.95833764627 5.54429765814 -- 
2015-02-21_08-34-14 -- 5.52838142757 6.8815782146 2.96077941705 4.49977127046 4.7157557487 3.5990398444 3.269038697 5.04419893838 5.55774301138 -- 
2015-02-21_08-36-22 -- 5.49523974172 6.87665314036 2.97724677548 4.50086414419 4.71819199013 3.58749987672 3.25564990462 5.01483454586 5.52773066437 -- 
2015-02-21_08-38-30 -- 5.56791695282 6.90721662931 2.97793702677 4.50737427902 4.76823846657 3.59875991905 3.25879878644 5.02963232591 5.55779119946 -- 
2015-02-21_08-40-39 -- 5.4499476148 6.84070736228 2.95485608857 4.49617367217 4.72271731092 3.60017865101 3.27687377162 5.07619065565 5.57982429965 -- 
2015-02-21_08-42-46 -- 5.49567199316 6.88502365232 2.97314332457 4.49867250531 4.75213212809 3.59939896551 3.26480704907 5.03682589771 5.56925968476 -- 
2015-02-21_08-44-54 -- 5.60623656253 6.94580458544 2.98929808559 4.50956638832 4.81427484356 3.62005760239 3.28675545968 5.05728500541 5.5758120627 -- 
2015-02-21_08-47-02 -- 5.75766014184 7.05799360177 3.01554949397 4.50859827178 4.95642763217 3.64050157219 3.31209198268 5.12104738641 5.57869536621 -- 
2015-02-21_08-49-09 -- 5.70942709593 7.03169613754 3.01048598249 4.51416804365 4.88968472626 3.63502022932 3.30460430984 5.10420964164 5.55582945018 -- 
2015-02-21_08-51-17 -- 5.76366888861 7.05252513478 3.01294917626 4.51812564003 4.93583009505 3.63982336251 3.30736572427 5.13505906937 5.57447769741 -- 
2015-02-21_08-53-25 -- 5.81710802587 7.08706438657 3.0185098091 4.53251509415 4.97342047764 3.64329936883 3.33023149551 5.15092147316 5.59818138688 -- 
2015-02-21_08-55-33 -- 5.89836267897 7.13860185522 3.04877848842 4.52653438239 5.02052343972 3.66057186834 3.33805418107 5.16988174603 5.56798031328 -- 
2015-02-21_08-57-41 -- 5.83080488818 7.0874308619 3.02535780062 4.52574818506 4.95745554905 3.64353888911 3.3239255074 5.14579425859 5.60660288067 -- 
2015-02-21_08-59-50 -- 5.81391460347 7.07043817133 3.01740645357 4.50949610309 4.95222794333 3.63211056806 3.34035917823 5.15410997747 5.57293800358 -- 
2015-02-21_09-01-58 -- 5.95043198926 7.18918331917 3.05945101305 4.54210996279 5.06779898412 3.66943016106 3.37174271071 5.20243051333 5.57324276991 -- 
2015-02-21_09-04-06 -- 5.94551726462 7.19740595586 3.06229718568 4.55241400987 5.05127608095 3.66524222222 3.35206731421 5.19253406801 5.5542378498 -- 
2015-02-21_09-06-13 -- 5.78471967979 7.07600696598 3.01080141749 4.51635577848 4.92017352093 3.64280391633 3.32525905233 5.144737538 5.59519622875 -- 
2015-02-21_09-08-22 -- 5.93749482009 7.18730376856 3.04379250174 4.53865061586 5.03810107027 3.66140816298 3.35573654187 5.20179818878 5.62884940288 -- 
2015-02-21_09-10-31 -- 6.00664754975 7.23260376248 3.06276785639 4.54590127497 5.10363253089 3.6819723103 3.37216355802 5.22991208481 5.62397006389 -- 
2015-02-21_09-12-39 -- 6.08601959487 7.27702895986 3.02816230365 4.50719188512 5.15868270344 3.65004490145 3.34465666835 5.20237692791 5.56320302937 -- 
2015-02-21_09-14-48 -- 6.18311353628 7.36630935354 3.09791539043 4.58355228331 5.25852461211 3.71107037373 3.40487205775 5.28127923821 5.57712144678 -- 
2015-02-21_09-16-56 -- 6.13458222562 7.33209295465 3.09989795665 4.57987701235 5.22051080839 3.71022920791 3.40190708623 5.26800301755 5.64870578173 -- 
2015-02-21_09-19-03 -- 6.1127666363 7.3290865702 3.08892454653 4.57316575217 5.19692969752 3.69085843117 3.37778371758 5.23436351464 5.61484617849 -- 
2015-02-21_09-21-11 -- 6.18556760306 7.37048735122 3.10859430973 4.57551688621 5.24873950375 3.70285465894 3.40359590794 5.27786576636 5.62367449897 -- 
2015-02-21_09-23-19 -- 5.99239684073 7.22750538259 3.05073419835 4.55490630909 5.09076437956 3.6859501034 3.34996781232 5.20974305384 5.53521045369 -- 
2015-02-21_09-25-27 -- 6.00791205093 7.24824373413 3.07448273352 4.57279244613 5.1094216616 3.69386481909 3.37954702391 5.2282757798 5.59793436673 -- 
2015-02-21_09-27-35 -- 6.09058699331 7.29641048955 3.08471607947 4.561903242 5.17611752561 3.68696566023 3.39604096782 5.2642082192 5.61430192586 -- 
2015-02-21_09-29-43 -- 6.03057876843 7.25935432754 3.0628082827 4.5605539347 5.09861510962 3.66980735067 3.37015745073 5.22366536049 5.594531849 -- 
2015-02-21_09-31-51 -- 5.90483384037 7.16838299092 3.04998270503 4.54506356809 5.01435891571 3.66618491625 3.36367835837 5.21944982836 5.60109697394 -- 
2015-02-21_09-34-01 -- 5.81245592351 7.12013562833 3.0272059108 4.55786475445 4.94764305061 3.6636385949 3.35054185077 5.19914920972 5.56282554191 -- 
2015-02-21_09-36-09 -- 5.82934142362 7.13351184428 3.04585337114 4.55955998296 4.95943553331 3.67360574923 3.35042811368 5.19358947719 5.60451778489 -- 
